,SPY,JPM
2010-01-04,,
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-11,,
2010-01-12,,
2010-01-13,,
2010-01-14,,
2010-01-15,,
2010-01-19,72.9280560247,54.0170496452
2010-01-20,60.3389085228,44.355260447
2010-01-21,45.6841386505,30.2360861588
2010-01-22,34.0210768463,19.4933323224
2010-01-25,26.6705640049,18.9222364129
2010-01-26,20.2545094048,13.044824641
2010-01-27,19.3376792578,22.4221022787
2010-01-28,11.1258345339,24.7385382672
2010-01-29,5.63354981091,18.3511744247
2010-02-01,13.0105088501,25.0277038635
2010-02-02,15.3847616977,31.9724539562
2010-02-03,15.6930286942,37.9894929564
2010-02-04,15.7224027803,43.7496095333
2010-02-05,14.9623485187,46.5492164174
2010-02-08,22.7826000002,46.5954063372
2010-02-09,33.4500641773,55.5146937685
2010-02-10,33.8885068066,53.1847447653
2010-02-11,43.1630622464,43.0861652708
2010-02-12,54.3396177435,44.5677788263
2010-02-16,53.8720346171,45.6520049844
2010-02-17,53.0414754892,44.2575595018
2010-02-18,59.9722144583,43.5244968575
2010-02-19,71.8299236866,45.0491032547
2010-02-22,89.2614132069,59.1045618891
2010-02-23,79.6298335969,59.4635341805
2010-02-24,78.0936163251,59.6697376831
2010-02-25,77.0935693684,49.1188501115
2010-02-26,76.5895896723,60.6647250545
2010-03-01,74.7188507055,68.8114633452
2010-03-02,74.8050052697,59.9929935133
2010-03-03,74.6007011675,52.810562995
2010-03-04,73.8028441968,52.2214420505
2010-03-05,73.1655266407,61.3812703424
2010-03-08,72.9375901427,60.0315995931
2010-03-09,84.5420814529,62.0395258683
2010-03-10,84.6977932366,61.9178745384
2010-03-11,100.0,64.3073586491
2010-03-12,100.0,60.5136037917
2010-03-15,90.4256081786,50.7219597958
2010-03-16,90.5066139557,60.6207995825
2010-03-17,90.7053905583,69.8524572388
2010-03-18,78.9678259223,61.7590836442
2010-03-19,66.2019593527,50.5054827477
2010-03-22,57.0892186966,49.7596964074
2010-03-23,57.8593799902,61.061026616
2010-03-24,47.2465962711,60.5981034038
2010-03-25,49.1066881913,71.8166397061
2010-03-26,39.522728078,60.3707444219
2010-03-29,46.8497398434,59.8652585524
2010-03-30,46.2478389375,51.0878444502
2010-03-31,37.0846743122,52.0706633433
2010-04-01,46.694036467,59.3971040318
2010-04-05,56.22735664,68.7121215026
2010-04-06,65.5528796897,69.2958665603
2010-04-07,54.1991737809,59.8836889322
2010-04-08,55.3767450717,59.073576954
2010-04-09,52.7804254993,56.0249819169
2010-04-12,64.1670686883,67.9691758477
2010-04-13,54.9446550853,68.4371565313
2010-04-14,55.5930834175,82.2029934183
2010-04-15,66.5712768914,82.7103173795
2010-04-16,47.9702812673,58.106413562
2010-04-19,38.6909704193,47.5886786097
2010-04-20,40.4059541349,48.7976614841
2010-04-21,51.1089753611,47.11755063
2010-04-22,52.3185017222,38.9204805002
2010-04-23,53.5869996259,39.903822734
2010-04-26,54.4912722544,34.3338646315
2010-04-27,48.3618952685,32.3736882303
2010-04-28,37.861136123,28.8986711571
2010-04-29,39.222932485,27.3198988852
2010-04-30,41.0166146148,31.3376152034
2010-05-03,50.4237988142,40.944778322
2010-05-04,39.1895130885,31.6251171732
2010-05-05,29.1029681928,32.0601429999
2010-05-06,24.2220508925,31.4645209329
2010-05-07,15.7874303836,22.7734540268
2010-05-10,21.4158996795,34.0104135473
2010-05-11,30.4727140594,35.1224499
2010-05-12,37.7712554713,25.88769046
2010-05-13,31.7949357416,18.8161280179
2010-05-14,31.2591787608,18.7421303609
2010-05-17,25.1830474736,12.1659162468
2010-05-18,25.2772845207,11.9889907391
2010-05-19,24.9561722713,11.6416940348
2010-05-20,25.8209410598,11.7804440802
2010-05-21,26.8912673109,25.8777549982
2010-05-24,23.7888000292,23.0753260673
2010-05-25,14.2261448269,22.6440497611
2010-05-26,16.3504491859,30.8894853826
2010-05-27,24.1022525929,37.8494832577
2010-05-28,24.5001328888,39.0916012929
2010-06-01,24.9178203446,40.3936340057
2010-06-02,32.6453795137,49.1209626738
2010-06-03,41.1369433438,52.267163157
2010-06-04,42.8362260213,54.6967818803
2010-06-07,46.234176809,40.7113262812
2010-06-08,36.3436160763,40.6568247468
2010-06-09,46.7563069357,52.4864797924
2010-06-10,46.1994630679,51.6541023288
2010-06-11,44.5036293278,42.3578998802
2010-06-14,53.58417543,41.8583549558
2010-06-15,63.1984723064,51.7557970293
2010-06-16,62.9386473476,51.3850664102
2010-06-17,53.6154616799,51.0035625176
2010-06-18,65.2631076194,61.9867991454
2010-06-21,75.1035979634,71.867104995
2010-06-22,78.4342256297,60.5907404549
2010-06-23,67.5904219046,49.6060510642
2010-06-24,55.4405902861,35.9760701746
2010-06-25,45.7712502516,48.148523156
2010-06-28,37.5126426225,48.8977110921
2010-06-29,25.6240364113,38.3626011358
2010-06-30,16.1183908927,30.695863729
2010-07-01,15.5482988394,29.5432664277
2010-07-02,8.42718635998,21.9447246696
2010-07-06,9.27571814115,21.9077226409
2010-07-07,18.6032332623,30.85962908
2010-07-08,26.9844613631,39.6807236126
2010-07-09,34.175890345,50.4991605838
2010-07-12,41.2607897927,44.6119691555
2010-07-13,49.4055101792,56.1198828499
2010-07-14,53.3061777549,58.4406978033
2010-07-15,54.2167542767,71.0994619968
2010-07-16,56.3169835709,69.9844195786
2010-07-19,57.2986245392,69.7719818281
2010-07-20,57.5451319915,70.4590252887
2010-07-21,45.384465603,61.1512620661
2010-07-22,47.1259540304,60.7322022504
2010-07-23,49.0342243567,60.6127808931
2010-07-26,50.3266496099,60.8717613933
2010-07-27,50.2339160263,60.5894020159
2010-07-28,50.6601140523,62.5175610139
2010-07-29,50.8788889724,49.0263157871
2010-07-30,52.1812967668,53.6032283363
2010-08-02,60.6775274601,64.1851168652
2010-08-03,51.6051846188,53.3420355144
2010-08-04,62.2086549875,56.1792140763
2010-08-05,51.9105548622,54.0280591431
2010-08-06,39.5758459523,43.3951470947
2010-08-09,37.5118039099,33.1521575243
2010-08-10,25.5887526354,19.1589828638
2010-08-11,24.1892781373,17.9678115902
2010-08-12,24.0081401629,17.7391496139
2010-08-13,32.9134577771,25.1825861593
2010-08-16,23.5153596545,14.1056383381
2010-08-17,32.2611033398,24.3501126824
2010-08-18,32.9755494012,32.4108973794
2010-08-19,31.0722104255,24.8516427089
2010-08-20,31.680738621,25.3737713155
2010-08-23,32.8873731394,26.2570117439
2010-08-24,32.5416420396,25.383786921
2010-08-25,32.7248730848,26.3343652353
2010-08-26,43.6785174527,26.7426924855
2010-08-27,46.4835849907,29.4863505696
2010-08-30,46.1441576957,29.6748205785
2010-08-31,36.6197507474,29.5890777749
2010-09-01,38.5269594544,31.5295126819
2010-09-02,47.4236983418,41.2501444637
2010-09-03,56.884998288,51.015830018
