,SPY,JPM
2008-01-02,,
2008-01-03,,
2008-01-04,,
2008-01-07,,
2008-01-08,,
2008-01-09,,
2008-01-10,,
2008-01-11,,
2008-01-14,,
2008-01-15,,
2008-01-16,19.4897733688,48.2271871434
2008-01-17,17.7682816753,45.3863060062
2008-01-18,17.1992107478,42.5744941842
2008-01-22,16.2834411841,52.8139194566
2008-01-23,30.1496585767,64.810609901
2008-01-24,38.3450282628,73.1317340476
2008-01-25,28.5964097426,64.7351746255
2008-01-28,35.8843947691,64.367128443
2008-01-29,35.7191066645,67.1134542217
2008-01-30,44.9874253032,76.9057889684
2008-01-31,56.181641815,65.6347711651
2008-02-01,66.4838842779,73.3965515385
2008-02-04,71.4888109432,75.7049767473
2008-02-05,74.966691812,67.4483896971
2008-02-06,62.3949349252,58.1163307178
2008-02-07,51.1957855238,56.6252947579
2008-02-08,52.2235898837,58.2538526706
2008-02-11,51.6239878018,51.8827129416
2008-02-12,53.2961666745,47.9551826232
2008-02-13,50.2506348093,40.9028287608
2008-02-14,37.6378157687,44.5706926704
2008-02-15,28.860033596,30.4358438055
2008-02-19,35.2844134423,39.5610394372
2008-02-20,36.3726884627,40.9758696237
2008-02-21,37.1896306518,51.4453765162
2008-02-22,38.8520136087,50.1628187245
2008-02-25,49.1727508387,59.7069037085
2008-02-26,49.9577176702,68.691940463
2008-02-27,47.7453149265,56.8081376062
2008-02-28,38.3290562062,46.3190396547
2008-02-29,37.6379605715,45.7396398857
2008-03-03,37.0043945422,45.6891271376
2008-03-04,27.733459671,34.6491223219
2008-03-05,39.614967532,34.3650948371
2008-03-06,38.8860832126,24.3242353428
2008-03-07,37.0341065813,25.8894031932
2008-03-10,28.25791088,17.5349195717
2008-03-11,31.645015267,23.1892475496
2008-03-12,33.0653092826,33.5084767563
2008-03-13,30.9851811594,33.2062518505
2008-03-14,28.6590183483,30.7080111398
2008-03-17,26.8226888241,48.0438376942
2008-03-18,36.8821954975,59.9749817064
2008-03-19,27.6904743752,68.3570702386
2008-03-20,27.7127693644,76.6388480575
2008-03-24,35.4234351855,77.8529275838
2008-03-25,42.1023413686,75.221485671
2008-03-26,32.6872667343,68.3918263625
2008-03-27,25.0160911115,63.0038601627
2008-03-28,26.5049317687,64.0947650826
2008-03-31,29.7945059142,73.0003025952
2008-04-01,42.4718704321,70.2079105906
2008-04-02,39.5013912352,68.1029866286
2008-04-03,42.5715309245,58.549693564
2008-04-04,53.5397481794,46.7435357174
2008-04-07,52.3245939103,40.3340394787
2008-04-08,43.4370586432,43.4829214161
2008-04-09,43.4004529197,45.1469926105
2008-04-10,54.2973377484,45.3333250221
2008-04-11,53.0585371149,43.6585656565
2008-04-14,53.1887964143,34.9841861314
2008-04-15,51.0147505461,30.6674483781
2008-04-16,50.3990806567,33.5755041041
2008-04-17,60.2447225228,42.8197207604
2008-04-18,60.6147230389,52.2675334695
2008-04-21,53.1236075987,45.0015823943
2008-04-22,52.6935736654,53.0708362925
2008-04-23,63.4937684585,53.8585951893
2008-04-24,64.2941223581,64.1440094904
2008-04-25,75.8245603542,75.1825749786
2008-04-28,83.9882197547,84.9928791857
2008-04-29,76.2342852931,77.0946537065
2008-04-30,64.4674836995,76.0287182543
2008-05-01,64.7170628804,76.3738033856
2008-05-02,64.0264182913,76.2304917546
2008-05-05,63.9496376181,77.0116495893
2008-05-06,73.7016341469,67.8833438863
2008-05-07,62.2659333375,66.6079443776
2008-05-08,50.5560255019,55.6865723925
2008-05-09,40.1548049273,55.1822253424
2008-05-12,41.6633120743,53.9576050351
2008-05-13,50.1243083975,52.7241251213
2008-05-14,61.6715770241,40.9517683578
2008-05-15,61.2550123088,39.5400580974
2008-05-16,61.8075347925,37.4265835163
2008-05-19,69.7342363938,37.5228365975
2008-05-20,59.3808409437,34.5945044918
2008-05-21,57.6159459205,33.3825147673
2008-05-22,57.8535846994,43.1090713509
2008-05-23,56.9713920181,35.4083674112
2008-05-27,57.4071275373,36.754664531
2008-05-28,57.8782523742,36.4986737426
2008-05-29,57.662517737,44.5692659468
2008-05-30,56.4469413316,35.5830850542
2008-06-02,45.6098473015,27.0563208638
2008-06-03,34.1256455323,26.4436667241
2008-06-04,33.0179745713,28.3710699116
2008-06-05,45.6860089854,39.8493492529
2008-06-06,41.2369342812,28.2040326887
2008-06-09,40.4111812052,24.2625443608
2008-06-10,31.4774647053,28.6720779224
2008-06-11,22.5552112867,27.6135521219
2008-06-12,14.7114831186,32.2301638233
2008-06-13,18.7317536557,40.2659573447
2008-06-16,25.8499708637,48.1601294795
2008-06-17,26.7180600787,47.9018587122
2008-06-18,26.5886033702,47.6597842753
2008-06-19,16.5821340571,38.43356326
2008-06-20,17.2958429672,37.4492980016
2008-06-23,17.789385378,40.5626771797
2008-06-24,17.8039315311,38.982530911
2008-06-25,29.4098562732,49.3792570515
2008-06-26,29.0103734796,38.0216539982
2008-06-27,18.7232964699,26.9295643804
2008-06-30,20.5735021333,18.4605440142
2008-07-01,19.2630911249,17.2583057233
2008-07-02,19.21565752,26.2706380634
2008-07-03,19.7830753626,34.3403244801
2008-07-07,19.3245501954,35.136213147
2008-07-08,30.1066337268,45.4744844967
2008-07-09,29.5647562921,36.35650786
2008-07-10,19.2946215496,27.6275108033
2008-07-11,18.3626244653,26.6307272751
2008-07-14,18.3170120512,27.7828791104
2008-07-15,10.1419620277,26.3595535654
2008-07-16,20.0869239132,39.928873175
2008-07-17,29.5511185417,48.8627176311
2008-07-18,36.3698407558,51.8879413631
