,SPY,JPM
2010-01-04,,
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-11,,
2010-01-12,,
2010-01-13,,
2010-01-14,,
2010-01-15,,
2010-01-19,0.347029474002,0.234836417023
2010-01-20,-0.023204298169,-0.0455695260976
2010-01-21,-0.59083548896,-1.2409549634
2010-01-22,-1.32841361449,-2.07029154313
2010-01-25,-1.28020423815,-2.01553026138
2010-01-26,-1.43152774042,-2.25825579964
2010-01-27,-1.04638891711,-1.55682783796
2010-01-28,-1.58844263056,-1.76616766026
2010-01-29,-1.95197131072,-2.12260329608
2010-02-01,-1.23500923779,-1.51275566044
2010-02-02,-1.2440910174,-1.00517607748
2010-02-03,-1.10190554966,-1.15385322616
2010-02-04,-1.42795365732,-0.853394547545
2010-02-05,-0.753147455582,-0.308376541768
2010-02-08,-1.09120105028,-0.589409135199
2010-02-09,-0.630128196061,0.0413133397526
2010-02-10,-0.817112804198,-0.134687788362
2010-02-11,-0.203696919776,-0.133947426941
2010-02-12,0.083070988501,0.0690420455842
2010-02-16,0.0886324534461,0.253165872923
2010-02-17,-0.120975744505,-0.15066792273
2010-02-18,0.190288879092,0.117498878178
2010-02-19,1.16602194657,0.807287564323
2010-02-22,1.11045300169,1.19881758597
2010-02-23,0.961817133249,1.04678237531
2010-02-24,0.865577247184,1.15429184896
2010-02-25,0.881340474084,0.838491234504
2010-02-26,0.596240774694,1.34661154599
2010-03-01,0.924436898741,1.32159914162
2010-03-02,0.548300307476,0.722092816171
2010-03-03,0.437375885137,0.695928059197
2010-03-04,0.356527413235,0.698841897979
2010-03-05,0.706185723136,1.24765244821
2010-03-08,0.706036038022,0.78787841469
2010-03-09,1.11396964385,1.14486071689
2010-03-10,0.97413112501,0.927330748321
2010-03-11,1.13958118419,1.12451803862
2010-03-12,1.12265375748,0.543870579136
2010-03-15,0.825766032237,0.566714091019
2010-03-16,0.979699468078,0.727521152688
2010-03-17,1.12701977902,0.99056354483
2010-03-18,1.02031732447,0.760933409678
2010-03-19,0.340913589569,0.318128456947
2010-03-22,0.489199720365,0.520071714571
2010-03-23,0.644164965153,0.929133788411
2010-03-24,0.374433382593,0.86072693458
2010-03-25,0.207623712695,0.757135167613
2010-03-26,0.186988918612,0.798900180308
2010-03-29,0.36203381267,0.771392071602
2010-03-30,0.151519810129,0.587330112072
2010-03-31,-0.114040666579,0.438519353648
2010-04-01,0.096865825158,0.680463814295
2010-04-05,0.59354137862,0.82244186062
2010-04-06,0.508295537577,0.898949131612
2010-04-07,0.141885977611,0.368016856928
2010-04-08,0.379735569031,0.393268687283
2010-04-09,0.617608809597,0.476458859806
2010-04-12,0.681833802279,0.507427073606
2010-04-13,0.517243097427,0.465322584249
2010-04-14,0.828485815137,1.28664721585
2010-04-15,0.953625173816,1.2459770032
2010-04-16,0.287541641585,0.206188595355
2010-04-19,0.164309699224,0.0801578215117
2010-04-20,0.35109884294,0.0799893604164
2010-04-21,0.464193729887,0.076241161916
2010-04-22,0.449772345842,-0.316377840963
2010-04-23,0.448724777562,-0.318424046094
2010-04-26,0.293877727739,-0.764235988986
2010-04-27,-0.408840880799,-1.21504751503
2010-04-28,-0.513234384634,-1.45570021017
2010-04-29,-0.189181281708,-1.28938412271
2010-04-30,-0.220704291749,-1.04428481417
2010-05-03,0.037958990088,-0.62910100266
2010-05-04,-0.878447554845,-1.19537325927
2010-05-05,-0.993273306094,-0.955040303105
2010-05-06,-1.98597601886,-1.4262854383
2010-05-07,-2.54981207197,-1.51825931765
2010-05-10,-1.3042900802,-0.685183562545
2010-05-11,-0.723785744591,-0.279377410321
2010-05-12,-0.547081635428,-0.627114382009
2010-05-13,-1.23295091218,-1.16820958769
2010-05-14,-1.26522677718,-1.00895620124
2010-05-17,-1.598646974,-1.37764888819
2010-05-18,-1.32620108245,-1.31725744883
2010-05-19,-1.32090026717,-1.22873386903
2010-05-20,-1.44754274366,-1.173170027
2010-05-21,-0.639314696897,-0.227883990183
2010-05-24,-2.15491769959,-1.28363143537
2010-05-25,-2.05304335838,-1.00122794424
2010-05-26,-2.57543348214,-1.12145995622
2010-05-27,-1.37071083205,-0.0967723267829
2010-05-28,-1.21681169907,-0.0648289922874
2010-06-01,-1.69122162291,-0.489119487847
2010-06-02,-0.612557136021,0.29692156891
2010-06-03,-0.354782238213,-0.0574482333006
2010-06-04,-0.279482024134,-0.0295393094762
2010-06-07,-1.03183638823,-1.34742392095
2010-06-08,-0.378570877275,-0.303918407779
2010-06-09,-0.554836278133,-0.730095296829
2010-06-10,0.435879716948,-0.15108172366
2010-06-11,-0.365227390918,-0.916654278358
2010-06-14,-0.0532890892736,-0.901476622524
2010-06-15,1.09246680392,-0.0601317471728
2010-06-16,0.331892809878,-0.380668313175
2010-06-17,0.279416790021,-0.222062116321
2010-06-18,1.35929501363,0.764006468975
2010-06-21,1.65104115073,1.05718380482
2010-06-22,0.837534395075,0.309230890259
2010-06-23,0.9013662817,0.874080953399
2010-06-24,-0.404736319215,-0.0470142389213
2010-06-25,-0.424891424582,0.666824577269
2010-06-28,-0.468895298741,0.612297805108
2010-06-29,-1.93965070022,-0.465512899329
2010-06-30,-2.18456083602,-0.775891542072
2010-07-01,-2.34301997911,-0.957914704025
2010-07-02,-2.51027508638,-1.3655075893
2010-07-06,-2.26731732589,-1.02439848687
2010-07-07,-0.985584153118,0.00878851756824
2010-07-08,-0.625249018289,-0.232750320418
2010-07-09,0.0518934729459,0.452564808129
2010-07-12,-0.0474798442397,-0.0167011000342
2010-07-13,0.475708914138,0.945907419157
2010-07-14,1.39705674801,1.59526196353
2010-07-15,1.69236222954,1.87640863746
2010-07-16,0.991640935752,1.43785134178
2010-07-19,1.32476058131,1.58626821041
2010-07-20,1.45947760838,1.60923820876
2010-07-21,0.168009122388,0.18550826817
2010-07-22,0.519063518672,0.59503272901
2010-07-23,0.558479388412,0.494179224953
2010-07-26,0.840282117325,0.558362728014
2010-07-27,0.399935148797,0.152212546895
2010-07-28,0.216410193723,0.0556655565779
2010-07-29,0.0678887366114,-0.0408767299196
2010-07-30,0.871593716985,0.624638267209
2010-08-02,1.35987494772,1.19725464607
2010-08-03,0.891023654052,0.682836128356
2010-08-04,1.47618798208,1.33100568449
2010-08-05,0.79301195213,0.890361102705
2010-08-06,0.420745069035,0.323066286509
2010-08-09,0.27488006475,-0.151281485323
2010-08-10,0.123653385701,-0.568398345058
2010-08-11,-0.48126540743,-1.01016070068
2010-08-12,-0.515402143663,-0.946982739403
2010-08-13,-0.593334198913,-1.10827011647
2010-08-16,-1.22275272453,-1.54764830909
2010-08-17,-0.753400276049,-1.42281207053
2010-08-18,-0.887868474924,-1.33354749589
2010-08-19,-1.33984887387,-1.66134264953
2010-08-20,-1.31861385744,-1.31891407884
