,Order,Date,Symbol,Shares
2008-01-02,HOLD,2008-01-02,JPM,0
2008-01-03,HOLD,2008-01-03,JPM,0
2008-01-04,HOLD,2008-01-04,JPM,0
2008-01-07,HOLD,2008-01-07,JPM,0
2008-01-08,HOLD,2008-01-08,JPM,0
2008-01-09,HOLD,2008-01-09,JPM,0
2008-01-10,HOLD,2008-01-10,JPM,0
2008-01-11,HOLD,2008-01-11,JPM,0
2008-01-14,HOLD,2008-01-14,JPM,0
2008-01-15,HOLD,2008-01-15,JPM,0
2008-01-16,HOLD,2008-01-16,JPM,0
2008-01-17,HOLD,2008-01-17,JPM,0
2008-01-18,HOLD,2008-01-18,JPM,0
2008-01-22,HOLD,2008-01-22,JPM,0
2008-01-23,HOLD,2008-01-23,JPM,0
2008-01-24,SELL,2008-01-24,JPM,1000
2008-01-25,HOLD,2008-01-25,JPM,0
2008-01-28,BUY,2008-01-28,JPM,1000
2008-01-29,HOLD,2008-01-29,JPM,0
2008-01-30,SELL,2008-01-30,JPM,1000
2008-01-31,HOLD,2008-01-31,JPM,0
2008-02-01,HOLD,2008-02-01,JPM,0
2008-02-04,HOLD,2008-02-04,JPM,0
2008-02-05,HOLD,2008-02-05,JPM,0
2008-02-06,HOLD,2008-02-06,JPM,0
2008-02-07,HOLD,2008-02-07,JPM,0
2008-02-08,HOLD,2008-02-08,JPM,0
2008-02-11,HOLD,2008-02-11,JPM,0
2008-02-12,HOLD,2008-02-12,JPM,0
2008-02-13,HOLD,2008-02-13,JPM,0
2008-02-14,HOLD,2008-02-14,JPM,0
2008-02-15,HOLD,2008-02-15,JPM,0
2008-02-19,HOLD,2008-02-19,JPM,0
2008-02-20,HOLD,2008-02-20,JPM,0
2008-02-21,HOLD,2008-02-21,JPM,0
2008-02-22,HOLD,2008-02-22,JPM,0
2008-02-25,HOLD,2008-02-25,JPM,0
2008-02-26,HOLD,2008-02-26,JPM,0
2008-02-27,HOLD,2008-02-27,JPM,0
2008-02-28,HOLD,2008-02-28,JPM,0
2008-02-29,HOLD,2008-02-29,JPM,0
2008-03-03,HOLD,2008-03-03,JPM,0
2008-03-04,HOLD,2008-03-04,JPM,0
2008-03-05,HOLD,2008-03-05,JPM,0
2008-03-06,BUY,2008-03-06,JPM,2000
2008-03-07,HOLD,2008-03-07,JPM,0
2008-03-10,HOLD,2008-03-10,JPM,0
2008-03-11,HOLD,2008-03-11,JPM,0
2008-03-12,HOLD,2008-03-12,JPM,0
2008-03-13,HOLD,2008-03-13,JPM,0
2008-03-14,HOLD,2008-03-14,JPM,0
2008-03-17,HOLD,2008-03-17,JPM,0
2008-03-18,HOLD,2008-03-18,JPM,0
2008-03-19,HOLD,2008-03-19,JPM,0
2008-03-20,SELL,2008-03-20,JPM,2000
2008-03-24,HOLD,2008-03-24,JPM,0
2008-03-25,HOLD,2008-03-25,JPM,0
2008-03-26,HOLD,2008-03-26,JPM,0
2008-03-27,HOLD,2008-03-27,JPM,0
2008-03-28,HOLD,2008-03-28,JPM,0
2008-03-31,HOLD,2008-03-31,JPM,0
2008-04-01,HOLD,2008-04-01,JPM,0
2008-04-02,HOLD,2008-04-02,JPM,0
2008-04-03,HOLD,2008-04-03,JPM,0
2008-04-04,HOLD,2008-04-04,JPM,0
2008-04-07,HOLD,2008-04-07,JPM,0
2008-04-08,HOLD,2008-04-08,JPM,0
2008-04-09,HOLD,2008-04-09,JPM,0
2008-04-10,HOLD,2008-04-10,JPM,0
2008-04-11,HOLD,2008-04-11,JPM,0
2008-04-14,HOLD,2008-04-14,JPM,0
2008-04-15,HOLD,2008-04-15,JPM,0
2008-04-16,HOLD,2008-04-16,JPM,0
2008-04-17,HOLD,2008-04-17,JPM,0
2008-04-18,HOLD,2008-04-18,JPM,0
2008-04-21,HOLD,2008-04-21,JPM,0
2008-04-22,HOLD,2008-04-22,JPM,0
2008-04-23,HOLD,2008-04-23,JPM,0
2008-04-24,HOLD,2008-04-24,JPM,0
2008-04-25,HOLD,2008-04-25,JPM,0
2008-04-28,HOLD,2008-04-28,JPM,0
2008-04-29,HOLD,2008-04-29,JPM,0
2008-04-30,HOLD,2008-04-30,JPM,0
2008-05-01,HOLD,2008-05-01,JPM,0
2008-05-02,HOLD,2008-05-02,JPM,0
2008-05-05,HOLD,2008-05-05,JPM,0
2008-05-06,HOLD,2008-05-06,JPM,0
2008-05-07,HOLD,2008-05-07,JPM,0
2008-05-08,HOLD,2008-05-08,JPM,0
2008-05-09,HOLD,2008-05-09,JPM,0
2008-05-12,HOLD,2008-05-12,JPM,0
2008-05-13,HOLD,2008-05-13,JPM,0
2008-05-14,HOLD,2008-05-14,JPM,0
2008-05-15,HOLD,2008-05-15,JPM,0
2008-05-16,HOLD,2008-05-16,JPM,0
2008-05-19,HOLD,2008-05-19,JPM,0
2008-05-20,HOLD,2008-05-20,JPM,0
2008-05-21,HOLD,2008-05-21,JPM,0
2008-05-22,HOLD,2008-05-22,JPM,0
2008-05-23,HOLD,2008-05-23,JPM,0
2008-05-27,HOLD,2008-05-27,JPM,0
2008-05-28,HOLD,2008-05-28,JPM,0
2008-05-29,HOLD,2008-05-29,JPM,0
2008-05-30,HOLD,2008-05-30,JPM,0
2008-06-02,HOLD,2008-06-02,JPM,0
2008-06-03,HOLD,2008-06-03,JPM,0
2008-06-04,HOLD,2008-06-04,JPM,0
2008-06-05,HOLD,2008-06-05,JPM,0
2008-06-06,HOLD,2008-06-06,JPM,0
